Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS
2020-01-01,0.31031030583892266,0.20420105563011903,0.506696182350996
2020-01-02,0.3230590876905732,0.20025999308766806,0.5147792516447275
2020-01-03,0.3239767682456945,0.217291298178386,0.49658029890701727
2020-01-06,0.3062921793637406,0.21721239156237226,0.46935587630152054
2020-01-07,0.3177511730054237,0.21935112590474437,0.48884438273401487
2020-01-08,0.31207135370707345,0.23891777638572653,0.48557160819194445
2020-01-09,0.3293589961729357,0.22271799539230286,0.49955551363132
2020-01-10,0.32918532788586136,0.22240096489593475,0.5107624497404467
2020-01-13,0.3272259760110357,0.2132117980498328,0.5140354799180994
2020-01-14,0.3201324454186834,0.219766831792099,0.5175066276720149
2020-01-15,0.3173792007116745,0.227688550588239,0.5122997143144551
2020-01-16,0.3243487405394437,0.2324020555482359,0.5156718032802391
2020-01-17,0.3457290257642251,0.22459928636968796,0.5062499704421358
2020-01-20,0.32159569887407996,0.20529019157627781,0.4831912574675946
2020-01-21,0.3223646852644692,0.20556745987753022,0.4727280930850958
2020-01-22,0.32209179729350895,0.219766831792099,0.4692568175133892
2020-01-23,0.31886742828941333,0.21542006007236492,0.47322389829691736
2020-01-24,0.3162381743469876,0.2124229003735737,0.47292659411473215
2020-01-27,0.30879730718048654,0.206805367087618,0.44183427733162983
2020-01-28,0.2915345034758699,0.21256167492743117,0.4517519153815547
2020-01-29,0.2955525622705037,0.20098964060030133,0.46429787067063566
2020-01-30,0.2776448306206292,0.19434014356398888,0.45457860583255594
2020-01-31,0.2617212896068261,0.1709975447406129,0.45482657234736223
2020-02-03,0.24874922962615836,0.18030678443015768,0.42160212699029886
2020-02-04,0.26903816600874403,0.1823912669639396,0.4582978479190688
2020-02-05,0.2800009935504498,0.19779411921627144,0.47302552508507223
2020-02-06,0.2846144381289469,0.19056880044758306,0.46821535815120263
2020-02-07,0.27263457498713733,0.19382424593074932,0.47059570887555247
2020-02-10,0.27360186538420145,0.20390733207015355,0.46871141899860647
2020-02-11,0.28210931031220093,0.20051350516217747,0.4690088509985829
2020-02-12,0.29081519460797195,0.20740078911108917,0.47733975898932945
2020-02-13,0.29272500432140297,0.21581689576542729,0.4698023438459632
2020-02-14,0.29939708813915983,0.21274038016028207,0.4479337423247015
2020-02-17,0.29475880479941713,0.22030305981323672,0.44575202044777906
2020-02-18,0.28937650919162755,0.22526513465399978,0.44188399845238224
2020-02-19,0.3074332057284274,0.21756384893106528,0.4557189961650828
2020-02-20,0.2985784242262794,0.20186311718312022,0.44570229932702665
2020-02-24,0.27824014872394415,0.1854081392764111,0.4386110960925206
2020-02-25,0.26407752021719494,0.20160505604391543,0.4290404833455336
2020-02-26,0.25197366631080237,0.18868329737325773,0.42799927961892925
2020-02-27,0.24912133728100433,0.1814979654448553,0.42819752501298314
2020-02-28,0.22054823409943652,0.13967588644141715,0.40657689000652775
2020-03-02,0.21434747762041145,0.14013247774973825,0.4085107731864349
2020-03-03,0.2275922225303943,0.15398707548942603,0.41069287851673086
2020-03-04,0.22602974939111192,0.1726452047410464,0.37801395949224126
2020-03-05,0.2118671885649111,0.1892588944604635,0.3804933690047224
2020-03-06,0.19195029215662313,0.18584473716458927,0.3641785783261672
2020-03-09,0.11414338015879749,0.1286396870063773,0.3368058870829512
2020-03-11,0.1336881689122396,0.12123583148871564,0.3432521217433785
2020-03-12,0.08876990874090224,0.048250805998789836,0.2515133306926177
2020-03-13,0.10975324754959187,0.06272087534338411,0.2996142970334642
2020-03-16,0.06530628087671214,0.019092536849389607,0.22989275959505784
2020-03-17,0.0614865937693016,0.003848396409765753,0.20569352847019873
2020-03-18,0.04189226285446501,0.002419372321176505,0.10830154824412219
2020-03-19,0.016692358202821556,0.0,0.12679799689070437
2020-03-20,0.0664224007996051,0.06442121463621686,0.11420251220755762
2020-03-23,0.0,0.013336004364406295,0.003818364783539918
2020-03-24,0.029441140054472015,0.026712220214268778,0.0
2020-03-25,0.0983190588288802,0.04556668934459651,0.08831730050870201
2020-03-26,0.09035728832197859,0.06182173304987604,0.13230234224824078
2020-03-27,0.09005966311059527,0.07523787957873185,0.1356248379110636
2020-03-30,0.0726231911189043,0.05684331527298481,0.06342382705128058
2020-03-31,0.1139449746313001,0.07587772518459934,0.09342496335144379
2020-04-01,0.0974261493544562,0.02895142710898846,0.06144028665951651
2020-04-03,0.09593795561699142,0.007137875636209157,0.04577020891945782
2020-04-07,0.15975614427706147,0.05552380570484161,0.12734345931438285
2020-04-08,0.15283607893013834,0.027631749056967636,0.12020285450360235
2020-04-09,0.1666265321014932,0.05190460352991688,0.15605529755534409
2020-04-13,0.1513479867134962,0.04914551155018754,0.12659962367885935
2020-04-15,0.1318527401214487,0.039508458396107615,0.0948133841076727
2020-04-16,0.1408810545495744,0.03187074725632422,0.11112804696843681
2020-04-17,0.16863549381826176,0.0679200069999435,0.1414266791774721
2020-04-20,0.178457565717474,0.07289848093812723,0.1756923282611399
2020-04-21,0.17525790011352732,0.04050812940325588,0.1526832724984556
2020-04-22,0.23788548640724166,0.05324427500208073,0.15957610252111643
2020-04-23,0.24150686950797734,0.0967314240066387,0.18570934464367406
2020-04-24,0.2643751792688524,0.07285877490430392,0.16894834205625853
2020-04-27,0.2706999265124606,0.08007645573720734,0.16066709127736878
2020-04-28,0.2699063044024707,0.0890539506717396,0.16235307185136527
2020-04-29,0.2693108509380591,0.10768837985790969,0.20767700495306718
2020-04-30,0.28868217444607197,0.15119552228261057,0.23217366807790285
2020-05-04,0.2734034936969782,0.11760539705528372,0.15402209995172322
2020-05-05,0.2860280817424005,0.11852520670444522,0.1425671973277901
2020-05-06,0.2860778269454401,0.10686870579334051,0.17722965674404367
2020-05-07,0.3089956788677098,0.10208999757270887,0.15600576816127842
2020-05-08,0.33620474827776686,0.10278982343900522,0.16002237833887234
2020-05-11,0.34364548008317125,0.11954498345432163,0.1468813673231516
2020-05-12,0.29525476785774957,0.1252232270975091,0.13274874588378782
2020-05-13,0.3108236627981819,0.12528315119664546,0.15863395758264343
2020-05-14,0.2805275482166379,0.10636870180588875,0.12496330031671965
2020-05-15,0.2922705294392111,0.10258994539886812,0.11945895495918324
2020-05-18,0.2829312905719507,0.12366362800377262,0.06838270998513862
2020-05-19,0.26698182790812824,0.12488328279378613,0.06243202490095079
2020-05-20,0.27940087012820186,0.12686268754923236,0.08866438972053536
2020-05-21,0.28318164092030923,0.14189852575483863,0.09109420593005524
2020-05-22,0.27832427564554724,0.1535548581820657,0.0705645596798522
2020-05-26,0.2745685466563305,0.12262413864021604,0.0840030666044449
2020-05-27,0.28533489756616687,0.14753678255774028,0.13483140897257884
2020-05-28,0.29870525757389327,0.14713697031617345,0.17608907468483004
2020-05-29,0.29477437132553846,0.1343605009093075,0.1824364422838125
2020-06-01,0.322791952566223,0.1635120307036032,0.21814016933556601
2020-06-02,0.3304786354843429,0.1642717245077434,0.23138036695720932
2020-06-03,0.33345813626449666,0.16627718810292658,0.25245553953998623
2020-06-04,0.35256225696761095,0.18448524075616013,0.2320745453808759
2020-06-05,0.3535136424358121,0.16711927052321762,0.26346416634616354
2020-06-08,0.34740432237761226,0.1765442586366801,0.24615782915286066
2020-06-09,0.33120471240707633,0.17666444380270807,0.21779308012373277
2020-06-10,0.34873147025027046,0.19138330767323875,0.2223056872398349
2020-06-11,0.3314801045583255,0.1748997998299211,0.1992469103563982
2020-06-12,0.3570691046824516,0.16361003215907932,0.21328053691652615
2020-06-15,0.36996380579635163,0.15975978242665978,0.18065114728610232
2020-06-16,0.3715411009757234,0.16613684103287807,0.2208676731806447
2020-06-17,0.37036433928150597,0.16693882429029816,0.2098093252537151
2020-06-18,0.3906701281206317,0.16304858771759267,0.2501744393304547
2020-06-19,0.44249921524404184,0.16565548259454832,0.26346416634616354
2020-06-22,0.4358640173251375,0.1589776802667976,0.25890202983599575
2020-06-23,0.4232198019206927,0.16192558651203437,0.27234053676058856
2020-06-24,0.4267000033975635,0.16469287804047406,0.2626211441047176
2020-06-25,0.42171742910834803,0.1542251432084879,0.25890202983599575
