Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2020-01-01,675.32421875,683.1529137163456,673.490123328754,679.0819971118469,14004468
2020-01-02,686.8212280273438,689.3487905881979,676.397899264457,676.397899264457,17710316
2020-01-03,687.6488037109375,689.6618949086101,681.3187290426969,685.7922517653002,20984698
2020-01-06,671.7006225585938,683.5107049345103,670.1348718060082,679.9766568901101,24519177
2020-01-07,682.0344848632812,686.4632732386915,677.0688284082713,679.5292597584985,16683622
2020-01-08,676.912353515625,686.440941615489,675.5032015883575,677.7399630034671,16047902
2020-01-09,692.5025634765625,693.3972440896104,685.0094043047601,688.2974451452224,14982742
2020-01-10,692.345947265625,696.9536717580928,688.7671054525405,694.2471733835102,12478359
2020-01-13,690.5789794921875,697.2892636445985,688.2080160085029,691.182918802657,18282382
2020-01-14,684.1819458007812,693.3973970480666,680.80443615396,688.9238735459851,15816535
2020-01-15,681.6990356445312,688.8790573291237,679.1938699492092,687.0672990416617,15817859
2020-01-16,687.9842529296875,690.4223472080394,683.5554644082378,684.0028644434916,12847975
2020-01-17,707.2652587890625,709.0322829800654,694.8288390890643,694.9630411899628,29463471
2020-01-20,685.5015258789062,719.7911481994419,682.839761284159,719.7911481994419,32545850
2020-01-21,686.1950073242188,691.5408742450458,680.8714775601642,683.8240435553602,18922720
2020-01-22,685.9489135742188,691.9434536836012,684.9423678831845,690.71323780845,10322817
2020-01-23,683.0411376953125,689.796156393504,680.2899048582964,687.3580618125278,11247739
2020-01-24,680.6700439453125,687.2908592684342,679.3279633794755,683.1080783353278,14628445
2020-01-27,673.9597778320312,681.9674086637826,673.2663704558863,677.6952189115842,13387750
2020-01-28,658.3919677734375,675.5032444510476,654.7460541997162,674.8769082130656,24532236
2020-01-29,662.0155029296875,668.5244541677285,654.9472866809749,659.4208095162297,24746565
2020-01-30,645.8660888671875,661.9484232186644,644.1885326054595,661.6352849574768,22402689
2020-01-31,631.5060424804688,650.115939458839,629.5153479649114,650.004074503463,34750310
2020-02-03,619.8076782226562,626.2719547408867,609.7646194987522,612.8289902103342,30712290
2020-02-04,638.1044921875,640.8333280510134,625.3101998110101,626.2943485822723,25383901
2020-02-05,647.9909057617188,649.9145288544571,639.849132797698,641.9068982608502,18472100
2020-02-06,652.1513671875,656.267018049872,644.2332634474068,650.496207815146,15538577
2020-02-07,641.3477783203125,649.7132815022266,638.9544179355763,649.109342186217,12209212
2020-02-10,642.2200927734375,646.6488813487252,630.9691553464403,638.8201869242226,15142476
2020-02-11,649.8922119140625,655.9090886918525,646.4475719077193,647.4988515504008,13999816
2020-02-12,657.7432861328125,659.7787743619559,650.8987994375913,651.4132707150139,13533565
2020-02-13,659.465576171875,661.076061195236,654.2986456938107,661.076061195236,13565659
2020-02-14,665.4825439453125,671.6783575404241,650.0488229864293,660.8524216851458,21227841
2020-02-17,661.2996826171875,673.7808361092095,659.5326584603905,666.1087404521531,13149130
2020-02-18,656.4458618164062,660.248373884015,651.9723392868693,660.248373884015,11127161
2020-02-19,672.7296142578125,673.9150960904617,659.8905874009041,661.7918138192991,14084409
2020-02-20,664.7442626953125,674.6083847941769,663.7824512149808,669.68752218318,16892268
2020-02-24,646.4029541015625,660.7406025323996,643.98725614945,657.4972949547915,21370214
2020-02-25,633.6309204101562,649.2882495489266,630.7678229370605,649.2882495489266,27745062
2020-02-26,622.7155151367188,631.8191601622372,620.6353526146177,630.7678804610105,29362748
2020-02-27,620.1432495117188,623.5207586374837,612.4263599498594,620.9260652375485,25054993
2020-02-28,594.3756713867188,607.0581581658521,592.7428492925397,606.1186837322065,39315769
2020-03-02,588.7837524414062,612.4263145698782,582.0510718430629,606.2081051825395,29500495
2020-03-03,600.72802734375,605.6712869241514,591.4007134151205,594.8453531423023,27398798
2020-03-04,599.3189697265625,605.6266480626504,585.0931280116588,604.821435403794,22105261
2020-03-05,586.5469970703125,607.4831207123542,584.2431048990697,604.9108243565992,30510390
2020-03-06,568.585693359375,576.2578480858582,555.2098603549766,568.1383530699313,33734039
2020-03-09,498.41845703125,555.1651920392663,489.85165057435484,554.7401888514859,88187018
2020-03-11,516.044189453125,527.183262933386,495.6672390040311,495.6672390040311,59578576
2020-03-12,475.5363464355469,492.5357574215292,469.13920029845366,485.3781326945414,55970485
2020-03-13,494.4593811035156,509.98250923399024,421.58557799627334,446.45838815033005,73297403
2020-03-16,454.3765563964844,483.00714524632815,449.58986531183916,474.4403385952524,38482258
2020-03-17,450.9319152832031,474.19426900063905,448.78462201274766,468.49050072051966,45445979
2020-03-18,433.2615051269531,463.41311163950786,429.9063628131876,458.6711544738802,44730415
2020-03-19,410.5359191894531,432.59042415452996,399.12841250234374,411.6095658236809,61404010
2020-03-20,455.3830871582031,462.9657149231966,416.03836966442924,420.2882223245293,63360475
2020-03-23,395.4825439453125,424.98547763271785,391.7247653699988,409.86492511955976,40670949
2020-03-24,422.0329284667969,433.9325104811008,400.73893016882965,416.03838849257653,45734887
2020-03-25,484.14788818359375,515.1494403179707,430.91289363718744,431.15893082862937,73130298
2020-03-26,476.9678649902344,499.6486775382283,466.2984990986507,490.20952746231364,45744488
2020-03-27,476.699462890625,495.3540929516579,468.0208212280606,489.8516573515531,41657940
2020-03-30,460.97503662109375,480.81514997134894,456.30021017423684,465.51569081571824,30229866
2020-03-31,498.2395324707031,505.41952430798887,468.8260681247117,480.4348787671312,44292810
2020-04-01,483.3426513671875,503.093264271414,467.5734569491014,502.0419846435416,41597459
2020-04-03,482.0005798339844,507.4997254458984,472.5390630031507,507.4997254458984,41367807
2020-04-07,539.5526123046875,543.086660841312,492.08842686836795,493.0278714782651,54373624
2020-04-08,533.31201171875,549.7970116946221,518.9296308909336,527.8766770166352,49880330
2020-04-09,545.7484130859375,551.4968858405396,533.6922622821191,543.0866484415843,33032857
2020-04-13,531.9700317382812,543.5341094585195,527.8767178037374,538.5908487718674,23673784
2020-04-15,514.3889770507812,552.928454098454,511.32460598764607,535.5040393591676,35321842
2020-04-16,522.5308227539062,531.2094648682425,512.2193584197375,514.3889890858135,37455706
2020-04-17,547.5601196289062,550.2442808995188,533.535612903734,543.9813374764348,33269335
2020-04-20,556.4177856445312,562.3227974116861,537.7184224485133,548.4548889228998,36030932
2020-04-21,553.5322875976562,560.0859719515005,520.7189526258386,541.2971428403878,61371628
2020-04-22,610.0106201171875,619.5392672425052,581.5590002828025,590.506045286382,142683366
2020-04-23,613.2764282226562,619.964375961398,605.4029986108286,611.6883400063555,65464502
2020-04-24,633.8993530273438,668.7705176942633,602.6741016877038,603.9937855419026,134986308
2020-04-27,639.6030883789062,659.8458058753123,636.5834515375906,641.5043146604703,58482901
2020-04-28,638.8873901367188,651.1000807620374,622.7826591494636,648.6620459031445,78453401
2020-04-29,638.3504028320312,650.2947467333179,635.2412982789344,646.3804296711473,37494672
2020-04-30,655.8197021484375,668.7705945819996,643.3162098274911,650.4291011653437,71345899
2020-05-04,642.0411987304688,655.3722993617022,634.100638844068,644.1884921115068,53456868
2020-05-05,653.4262084960938,661.6351717003255,647.4093321949724,650.3171635725639,44903763
2020-05-06,653.4710693359375,664.2970042488814,646.6489200756587,654.9249553114857,40489094
2020-05-07,674.138671875,677.1359713581347,646.4251935136327,650.8987159981552,50026966
2020-05-08,698.6761474609375,706.7731874423821,687.6264818225529,691.1605902433332,84262770
2020-05-11,705.3862915039062,722.4751682585187,703.3732004884412,706.8177804215668,67085063
2020-05-12,661.7469482421875,701.6061614380963,655.3721999800076,700.0180138666377,100683202
2020-05-13,675.7871704101562,689.5833490177412,656.6169951579172,689.5833490177412,66430125
2020-05-14,648.4657592773438,675.9000855316069,645.8013667337839,663.3909205122524,49266771
2020-05-15,659.0557250976562,662.352366946693,639.0501134333077,652.1011647623593,62152260
2020-05-18,650.6334838867188,669.2617172227509,644.8756934578628,663.8426273750064,62796089
2020-05-19,636.2500610351562,660.0942539879958,633.6986088181669,657.9717467574862,42315854
2020-05-20,647.44970703125,653.3881649537279,629.0698124523583,636.7469251931129,55320985
2020-05-21,650.8592529296875,659.981412669229,643.5208404585119,648.0367682176926,39167981
2020-05-22,646.4788208007812,658.4234659784153,644.1982807272651,655.6236168765307,37828973
2020-05-26,643.0918579101562,654.6752261523151,639.5919719683144,653.9752489639468,33216635
2020-05-27,652.8010864257812,656.61703698639,637.6501047337907,646.2303793438942,35667956
2020-05-28,664.858642578125,668.2455885276171,654.3591041621977,657.0686489767882,40126278
2020-05-29,661.313720703125,664.7458190579986,656.007510901674,662.9394357856911,40022527
2020-06-01,686.580322265625,694.7090163146383,666.5295595380629,668.3585186853417,39943702
2020-06-02,693.5122680664062,695.454167278361,686.7835281692161,689.1318561237848,22153960
2020-06-03,696.19921875,704.4859445214847,692.4509368094127,697.712053268636,25381289
2020-06-04,713.4275512695312,717.8080227909754,695.9057249087699,697.2604674305974,34202350
2020-06-05,714.2855224609375,730.6783659768879,710.6727564801458,720.291708575871,33076685
2020-06-08,708.7760620117188,730.8590266524802,706.7439184964705,730.8590266524802,31414953
2020-06-09,694.1670532226562,714.8726404733965,692.29294201313,704.6214390965813,25857161
2020-06-10,709.972900390625,713.3146942802665,695.4767428311673,696.8540614537437,22132647
2020-06-11,694.4154052734375,708.0760679196416,691.3897362648564,707.1954823716251,20385805
2020-06-12,717.4918823242188,719.3885695925972,676.0355556331963,677.3903578499011,38548899
2020-06-15,729.1204833984375,734.7202416055604,704.9827954950456,706.7440266277353,53107403
2020-06-16,730.5429077148438,744.474543171046,715.9112353938917,741.9682427707079,51187003
2020-06-17,729.481689453125,738.5586972066078,723.4980791176175,726.2753520321108,41782053
2020-06-18,747.793701171875,751.9031997400788,725.0785489207035,725.7107978465832,40471557
2020-06-19,794.5338134765625,807.810625482609,750.5486065093829,754.1613131856782,105804173
2020-06-22,788.5501098632812,814.7650899304879,783.5148135515716,800.8560305108304,60198705
